instancia,n,m,seed,costo,bks,gap_pct,tiempo_s
A-n60-k9,59,9,6,1584.0,1354.0,16.986706056129986,0.17244870000286028
A-n60-k9,59,9,7,1539.0,1354.0,13.663220088626293,0.1726040999928955
A-n60-k9,59,9,8,1507.0,1354.0,11.299852289512554,0.1740806000016164
A-n60-k9,59,9,9,1667.0,1354.0,23.116691285081238,0.17141239999909885
A-n60-k9,59,9,10,1545.0,1354.0,14.10635155096012,0.1707534000161104
A-n60-k9,59,9,11,1525.0,1354.0,12.629246676514033,0.17426629998954013
A-n60-k9,59,9,12,1614.0,1354.0,19.202363367799112,0.1711799000040628
A-n60-k9,59,9,13,1503.0,1354.0,11.004431314623337,0.16975289999390952
A-n60-k9,59,9,14,1533.0,1354.0,13.220088626292467,0.16979539999738336
A-n60-k9,59,9,15,1529.0,1354.0,12.924667651403249,0.1695639000099618
A-n60-k9,59,9,16,1545.0,1354.0,14.10635155096012,0.16991729999426752
A-n60-k9,59,9,17,1492.0,1354.0,10.19202363367799,0.169399100006558
A-n60-k9,59,9,18,1570.0,1354.0,15.952732644017726,0.17907280000508763
A-n60-k9,59,9,19,1573.0,1354.0,16.174298375184637,0.16986190000898205
A-n60-k9,59,9,20,1586.0,1354.0,17.134416543574595,0.17200599997886457
A-n60-k9,59,9,21,1522.0,1354.0,12.40768094534712,0.17121219998807646
A-n60-k9,59,9,22,1587.0,1354.0,17.208271787296898,0.17213779999292456
A-n60-k9,59,9,23,1650.0,1354.0,21.86115214180207,0.17279519999283366
A-n60-k9,59,9,24,1722.0,1354.0,27.17872968980798,0.17327550001209602
A-n60-k9,59,9,25,1496.0,1354.0,10.487444608567207,0.17422700001043268
A-n60-k9,59,9,26,1508.0,1354.0,11.37370753323486,0.17297970000072382
A-n60-k9,59,9,27,1602.0,1354.0,18.31610044313146,0.1752785999851767
A-n60-k9,59,9,28,1624.0,1354.0,19.940915805022154,0.16915810000500642
A-n60-k9,59,9,29,1486.0,1354.0,9.748892171344165,0.17277070001000538
A-n60-k9,59,9,30,1536.0,1354.0,13.44165435745938,0.17355450001196004
A-n80-k10,79,10,0,2030.0,1763.0,15.144639818491209,0.23352199999499135
A-n80-k10,79,10,1,2070.0,1763.0,17.413499716392515,0.22110290001728572
A-n80-k10,79,10,2,2010.0,1763.0,14.010209869540555,0.22819949997938238
A-n80-k10,79,10,3,1932.0,1763.0,9.585933068633013,0.22393609999562614
A-n80-k10,79,10,4,2040.0,1763.0,15.711854792966534,0.23084810000727884
A-n80-k10,79,10,5,2040.0,1763.0,15.711854792966534,0.22546720001264475
A-n80-k10,79,10,6,2101.0,1763.0,19.171866137266026,0.22592539998004213
A-n80-k10,79,10,7,1941.0,1763.0,10.096426545660805,0.22752119999495335
A-n80-k10,79,10,8,1923.0,1763.0,9.075439591605218,0.22459320002235472
A-n80-k10,79,10,9,2114.0,1763.0,19.909245604083946,0.22935189999407157
A-n80-k10,79,10,10,1911.0,1763.0,8.394781622234827,0.2260262000199873
A-n80-k10,79,10,11,1936.0,1763.0,9.812819058423141,0.22197630000300705
A-n80-k10,79,10,12,2150.0,1763.0,21.951219512195124,0.2290052000025753
A-n80-k10,79,10,13,2032.0,1763.0,15.258082813386272,0.2244967999868095
A-n80-k10,79,10,14,1913.0,1763.0,8.508224617129892,0.2221482000022661
A-n80-k10,79,10,15,2053.0,1763.0,16.449234259784458,0.22412709999480285
A-n80-k10,79,10,16,1987.0,1763.0,12.705615428247304,0.22390680000535212
A-n80-k10,79,10,17,2066.0,1763.0,17.18661372660238,0.22608849999960512
A-n80-k10,79,10,18,2101.0,1763.0,19.171866137266026,0.22691379999741912
A-n80-k10,79,10,19,2085.0,1763.0,18.264322178105502,0.22597939998377115
A-n80-k10,79,10,20,2033.0,1763.0,15.314804310833807,0.22465320001356304
A-n80-k10,79,10,21,2093.0,1763.0,18.718094157685762,0.22697429999243468
A-n80-k10,79,10,22,2141.0,1763.0,21.44072603516733,0.2242153000261169
A-n80-k10,79,10,23,2055.0,1763.0,16.56267725467952,0.22441510000498965
A-n80-k10,79,10,24,2096.0,1763.0,18.888258650028362,0.22551450002356432
A-n80-k10,79,10,25,2061.0,1763.0,16.903006239364718,0.22539289999986067
A-n80-k10,79,10,26,2151.0,1763.0,22.007941009642654,0.2284786000091117
A-n80-k10,79,10,27,2028.0,1763.0,15.031196823596144,0.22457739998935722
A-n80-k10,79,10,28,2095.0,1763.0,18.83153715258083,0.22564560000319034
A-n80-k10,79,10,29,2099.0,1763.0,19.05842314237096,0.22844190002069809
A-n80-k10,79,10,30,2119.0,1763.0,20.19285309132161,0.22543650001171045
E-n76-k10,75,10,0,978.0,830.0,17.83132530120482,0.20928660000208765
E-n76-k10,75,10,1,954.0,830.0,14.93975903614458,0.21327129998826422
E-n76-k10,75,10,2,924.0,830.0,11.325301204819278,0.23607330000959337
E-n76-k10,75,10,3,1020.0,830.0,22.89156626506024,0.20918710000114515
E-n76-k10,75,10,4,1070.0,830.0,28.915662650602407,0.21503520000260323
E-n76-k10,75,10,5,1059.0,830.0,27.590361445783135,0.20926419997704215
